personId,personName,best
2014WENW01,Wong Chong Wen (黄崇文),2000
2015FUSH01,Firstian Fushada (符逢城),2067
2012MCNE01,Jayden McNeill,2100
2014SCHO02,Cale Schoon,2100
2017CHOI07,Kyeongmin Choi,2100
2019RATT02,Louis-Marie Ratto,2133
2020BARA02,Radomił Baran,2133
2017LOUY01,Yunhao Lou (娄云皓),2133
2014KARN02,Daniel Karnaukh,2167
2018LOVE03,Jack Love,2167
2015SHAH09,Krish Shah-Nathwani,2167
2012LIUY03,Yiwei Liu (刘伊玮),2167
2016LOPE44,Mauro Moises López,2167
2016KAMA04,AJ Kamal,2200
2016NORD02,Theodor Nordstrand,2200
2016SINY01,Alexei Sinyavin,2200
2013DIPI01,Guido Dipietro,2200
2011TRON02,Sebastiano Tronto,2200
2015WIDD01,Owen Widdis,2200
2019ROGO04,Wojciech Rogoziński,2200
2019TAMU01,Takumi Tamura (田村匠),2200
2015KUCA01,Carter Kucala,2200
2019MERR02,Alexis Le Merrer,2200
2013NELS01,Tom Nelson,2233
2014BOYA01,Mark Boyanowski,2233
2013GERT01,Nicolas Gertner Kilian,2233
2012SART01,Louis Sarthou,2233
2010BENT01,Jan Bentlage,2233
2014CHIC01,Christopher Chi,2267
2016OCHS01,Zachary Ochs,2267
2016KALB01,Cyprian Kalbarczyk,2267
2014KIPR01,Tommy Kiprillis,2267
2017PODZ01,Modest Podzolkin,2300
2018CREE01,Kerry Creech,2300
2013SAVA01,Harry Savage,2300
2022SLOA01,Jaye Sloan,2300
2016QUIN01,James Quinn,2300
2014SCHW02,Fabio Schwandt,2300
2012BUBE01,Reto Bubendorf,2300
2018FANG03,Lichi Fang (方力驰),2300
2018ISOM02,Lewis Isom,2300
2018RIAB01,Yurii Riabov (Юрій Рябов),2333
2019RIED01,Jan Riedl,2333
2016BAIR01,Samuel Baird,2333
2018XIAO03,Dunhui Xiao (肖敦慧),2333
2016EPST02,David Epstein,2333
2016BARO04,Ben Baron,2333
2009SHEP01,Daniel Sheppard,2333
2016KELL12,Simon Kellum,2333
2019KARP03,Bartosz Karpiński,2333
2014RAPO01,Tommaso Raposio,2333
2011WELC01,Walker Welch,2333
2018GIBS04,Levi Gibson,2367
2015ONOF01,Anuar Miguel Abib Onofre,2367
2019SHEN10,Jeremy Sheng,2367
2013BROW04,Evan Brown,2367
2008DONG06,Baiqiang Dong (董百强),2367
2009BALO03,Dávid Balog,2367
2018MOSH01,Zecharya Moshavi,2400
2008UENO01,Shuto Ueno (上野柊斗),2400
