personId,personName,best
2016HUNG08,Lim Hung (林弘),1990
2015ROSE01,Daniel Rose-Levine,2058
2017KOLI01,Mohammed Aiman Koli,2075
2015CHER07,Tommy Cherry,2438
2015MINK04,Kevin Min,2440
2016GUTI23,Daniel Gutierrez,2550
2014GERB01,Henri Gerber,2651
2015BYEO01,Jimin Byeon (변지민),2669
2013SUCH02,Chengming Su (苏成明),2754
2013ANAN03,Adithyaa Anand,2761
2012QUIB01,Louie Jay Quibote,2763
2017HONG17,Jinseo Hong,2800
2010KIPA01,Jakub Kipa,2816
2015DIZO02,Kieran Dizon,2826
2016SCHO08,Jakob Schöley,2829
2012CAMP03,Gabriel Pereira Campanha,2841
2016CETR01,Joel Cetra,2845
2015CHEN52,Weisheng Chen (陈伟胜),2859
2015YAKH01,Daniel Yakhkind,2862
2011KNOT01,Wojciech Knott,2889
2016RIDL01,Ben Ridley,2894
2015QUAN03,Ng Jia Quan (黄佳铨),2903
2013EGDA01,Daniel Vædele Egdal,2918
2017SWAI01,Adam Swaine,2938
2016ELEV01,Edgar Elevado Jr.,2943
2017HYOJ01,Choi Hyo-Jin (최효진),2973
2016CHAP04,Stanley Chapel,2983
2017GARR05,Luke Garrett,2984
2016HOLM04,Laurids Abelsen Holm,3013
2008TAKA01,Yuhei Takagi (高木佑平),3017
2015MINK03,Kim Min (김민),3032
2016WOOD01,Nolan Wood,3056
2011NARA02,Bhargav Narasimhan,3067
2014BAND04,Mahith Bandi,3071
2017MEAD01,Alison Meador,3075
2016ELOV01,Viljo Elo,3100
2012QIUR01,Ruohan Qiu (邱若寒),3104
2011JIAN15,Xiaojie Jiang (蒋孝杰),3178
2017MAHE08,Harsh Maheshwari,3181
2015MLOS01,Michał Mlostek,3188
2008YUNS02,Yunsu Nam (남윤수),3200
2017BORG02,Gabriel Bergue,3211
2018GALV06,Gustavo Laurentino Galvani,3217
2015CECC01,Vicenzo Guerino Cecchini,3258
2016SINY01,Alexei Sinyavin,3271
2014GOSL01,Raymond Goslow,3279
2013GERT01,Nicolas Gertner Kilian,3285
2016DENG16,Kaemen Te Dengjian,3287
2014JOYO01,Yong Hyeon Jo (조용현),3291
2018BRUU01,Jacob Oliver Bruun,3401
2015AROR05,Dhruv Arora,3449
2016DROB01,Jakub Drobný,3489
2012HALE01,Callum Hales-Jepp,3505
2016RACH01,Fahmi Aulia Rachman,3520
2015LINY08,Ying Lin (林颖),3521
2011DUHA01,Haichuan Du (杜海川),3527
2016GOTT01,Benjamin Gottschalk,3550
2014BALA11,Eugene Paul Balangit,3553
2010CANT02,Antoine Cantin,3570
2016KRUE01,Ivan Krueger,3594
2013ERDE02,Erdenemandah Erdenekhuu (Эрдэнэхүү Эрдэнэмандах),3598
2014IRIA01,Julen Simón Iriarte,3601
2016TRAG01,Parker Trager,3609
2015KOEN01,Christian König,3610
2013WARY01,Rafał Waryszak,3620
2016HRYN02,Vladyslav Hryniuk (Владислав Гринюк),3634
2016ROLZ01,Alwin Rölz,3660
2014WENG01,Zicong Weng (翁子聪),3664
2007CINO01,Rafael Werneck Cinoto,3669
2014KIPR01,Tommy Kiprillis,3693
2013FENG02,Zijia Feng (冯子甲),3699
2012SUNL03,Liudi Sun (孙柳笛),3707
2013GOOD01,Daniel Goodman,3713
2015RAJA10,Lakshimi Rajaram,3731
2017BLAC06,Ash Black,3756
2017BHAT02,Atharva R. Bhat,3779
2014NOVO01,Tomáš Novotný,3780
2013LIHU01,Hua-Ting Lee (李華庭),3809
2012KALE01,Przemysław Kaleta,3818
2017SIAU02,Max Siauw,3840
2016MULL04,Daniel Mullen,3842
2010JULI01,Renhard Julindra,3847
2016THOR08,Elvin Thorsen,3862
2014GOME01,Anderson Ortegón Gómez,3881
2011LEER01,Roy Lee,3886
2016GREE04,Steve Greer,3897
2016TANN01,Ana Beatriz M. Tannenbaum,3900
2015SANC18,Josete Sánchez,3904
2016GEEN01,Nathaniel Gee,3909
2014KIMD06,Doyul Kim (김도율),3923
2014HOLU01,Lev Golub (Лев Голуб),3927
2014KORO02,Vladimir Korovin,3932
2015KUCA01,Carter Kucala,3958
2010CORM02,Louis Cormier,3959
2017PAON01,Roan Paone,3960
2014BEGU01,Elian Beguec,3968
2017VASQ11,Juan David Carmona Vásquez,3978
2011QUEJ01,Jianyu Que (阙剑宇),3979
2013SAVA01,Harry Savage,3985
2012LIKC01,Chan Hong Lik,3987
2014BAIR01,Ray Bai,4037
2012CHIN04,Lam Yu Ching (林雨晴),4038
2017HICK03,Tyler Hicks,4061
2015ZHYD01,Vladyslav Zhydkov (Владислав Жидков),4079
2015MUZO01,Zongwen Mu (牟宗文),4083
2017RICH02,Braden Richards,4084
2014KOVA07,Bence Kovács,4094
2015MACG02,Ben MacGregor,4101
2011REYE04,Stephano Saucedo Reyes,4107
2016SZAN01,Szabolcs Szántai,4112
2012MCNE01,Jayden McNeill,4126
2016COSS01,Dylan Cossin,4150
2014RAJA02,Sandeep Rajaram,4153
2016LAUR01,Linus Laurén,4157
2015IVAN03,Oleksandr Ivanchak (Олександр Іванчак),4175
2010BADR01,Muhammad Badruddin,4184
2008SAJI01,Yu Sajima (佐島優),4195
2017ILIN01,Maxim Ilin,4200
2018MITC03,Jayden Mitchell,4204
2007YUNQ01,Yunqi Ouyang (欧阳韵奇),4232
2011MELI01,Artem Melikian (Артем Мелікян),4244
2015FUSH01,Firstian Fushada (符逢城),4250
2015MACK06,Zeke Mackay,4255
2013FLOR02,Carlo Flores,4257
2011SBAH01,Rami Sbahi,4282
2015VANL01,Luke Van Laningham,4294
2018YIKL01,Lim Chun Yik (林峻毅),4306
2014STAR05,Charlie Stark,4326
2016HART02,Sean Hartman,4326
2014WENW01,Wong Chong Wen (黄崇文),4332
2014SCHO02,Cale Schoon,4341
2017ENGB01,Bryan Eng,4345
2018KOCH11,Vyacheslav Kochergin (Вячеслав Кочергин),4362
2010RAIH01,Fakhri Raihaan,4371
2016COUL02,Kevin Coulter,4380
2017SHEN01,Desmond Low Kai Sheng,4396
2014WUBA01,Baocheng Wu (吴宝城),4414
2015NATH02,Nitin Nathan,4416
2010UTOM01,Vincent Hartanto Utomo,4453
2016OSTL02,Stian Nystad Østli,4453
2017FRIS01,Jesper Frisk,4474
2010HUAN04,Yu-Huan Huang (黃宇瑍),4491
2015CALD02,Kymberlyn Calderon,4492
2013WALL03,Daniel Wallin,4505
2012JAME04,Daniel James,4523
