personId,personName,best
2012PARK03,Max Park,862
2017VILL41,Sean Patrick Villanueva,864
2012PONC02,Patrick Ponce,865
2019RAMO05,Dwyane Ramos,888
2016RACH01,Fahmi Aulia Rachman,898
2017GARR05,Luke Garrett,904
2020ARCH01,Nicholas Archer,905
2014SEBA01,Juliette Sébastien,907
2019LENS01,Magnus Lensch,914
2017URBA01,Mantas Urbanavičius,920
2023ARRA01,Crimson Arradaza,926
2017TUNG13,Antonio Kam (甘浩東),928
2021MERU01,Dhruva Sai Meruva,934
2018KODA01,Muhammad Faeyza Koda,944
2016SATO01,Caio Hideaki Sato,944
2008SUNZ01,Zhouheng Sun (孙舟横),948
2013JOHN10,Brian Johnson,948
2015CHEA01,Andrey Che,952
2014JANE02,Ethan Jan,953
2015MANS03,Kian Mansour,954
2018MURR03,Jasper Murray,960
2009ZEMD01,Feliks Zemdegs,960
2017XURU04,Ruihang Xu (许瑞航),962
2015CARV06,Iuri Grangeiro Carvalho,964
2016PARK02,Eli Parker,969
2021CHEL01,Ianis Costin Chele,976
2022ROBI05,Eden Robinson-Rechavi,977
2018WANG39,Yibo Wang (王奕博),987
2012TYCK01,Luke Tycksen,987
2017GOLU01,Theo Goluboff,991
2016CORV01,Alejandro Daniel Salceda Corvera,995
2017YANG59,Tee Kai Yang,998
2018LINT05,Tudor Lin,1003
2014PAUL06,Nicholas Paul,1007
2017GADG01,Pranav Gadge,1011
2016HONG03,Yoochan Hong (홍유찬),1012
2018KANT01,Tolga Kaan Kantarcı,1013
2017TSVE02,Alexey Tsvetkov,1016
2018PARI07,Parist Pariyakanok (พริษฐ์ ปริยกนก),1018
2015WENT01,Tao Wen (温韬),1018
2019KARP03,Bartosz Karpiński,1019
2011NARA02,Bhargav Narasimhan,1020
2022BULA01,Jeremy Bulambot,1021
2019PILH01,Jonas Pilhöfer,1029
2015LARS04,Kim Roger Haraldsen,1033
2010CANT02,Antoine Cantin,1035
2014KIMD06,Doyul Kim (김도율),1039
2014WONG08,Vincent Wong,1039
2016INAB01,Matty Hiroto Inaba,1039
2014ZAKR01,Karol Zakrzewski,1042
2014MILL04,Chris Mills,1045
2016LIJI05,Jiazhou Li (李佳洲),1047
2016HARA02,Knut Skaug Haraldsen,1047
2013NAHM01,Seung Hyuk Nahm (남승혁),1048
2016ELOV01,Viljo Elo,1050
2016BARO04,Ben Baron,1051
2016ROLZ01,Alwin Rölz,1051
2016CHAN09,Jaemin Chang (장재민),1056
2017BRIG03,Joseph Briggs,1057
