personId,personName,best
2016CHAP04,Stanley Chapel,6876
2013LINK01,Kaijun Lin (林恺俊),8008
2017GUTM01,Manuel Gutman,8675
2013WALL03,Daniel Wallin,9079
2017FENG10,Hill Pong Yong Feng,10227
2017DEBS01,Adrian Dębski,10685
2019ECKE02,Ryan Eckersley,10866
2016SIGG01,Graham Siggins,11044
2019HIRS01,Ezra Hirschi,11207
2021TRIP01,Michael Tripodi,11492
2015CHER07,Tommy Cherry,11530
2014SCHO02,Cale Schoon,12261
2021MORA01,Mikołaj Morawski,12316
2012STRA02,Roman Strakhov,12806
2014PARR02,Berta García Parra,13274
2016XUWE02,Sora Wenjie Xu (徐文杰),13678
2013NELS01,Tom Nelson,13937
2016PRZY01,Kamil Przybylski,14161
2012SILV22,Israel Fraga da Silva,14535
2014FRIT02,Oliver Fritz,14770
2017HERM01,Daniel Anker Hermansen,14959
2017SEMO02,Marcos Ferreira Semolini,15354
2012FROS01,Oliver Frost,15562
2022SLOA01,Jaye Sloan,15758
2015PHOM01,William Phommaha,16020
2021PISK01,Karol Piskorek,16369
2019KOBE03,Elliott Kobelansky,16488
2011HAMI01,Ahsanul Insan Hamid,16621
2012JALO01,Grzegorz Jałocha,16842
2019CSEN01,Bálint Csengő,16983
2013EGDA02,Martin Vædele Egdal,17217
2010YAMA04,Yuki Yamamoto (山本祐輝),17820
2007HESS01,Rowe Hessler,18011
2014BOYA01,Mark Boyanowski,18065
2013DIPI01,Guido Dipietro,18205
2018SHEN07,Mengfei Shen (沈梦非),18368
2015KUCA01,Carter Kucala,18682
2016TAYL02,Paul Taylor,18834
2012GRAY01,Enoch Gray,19237
2017KOLI01,Mohammed Aiman Koli,19430
2017SUNC02,Christopher Sun,19457
2015WRIG07,William Wright,19904
2013GHOD01,Abhijeet Ghodgaonkar,20244
2016WEIM01,Josh Weimer,20466
2016KRAF01,Noah Kraft,20496
2022RIPO01,Riccardo Ripoldi,20630
2007LUJI01,Jia-Hong Lu (陸嘉宏),20777
2018GONZ30,Julian Alejandro Forero Gonzalez,21093
2011GRIT01,Oleg Gritsenko,21562
2013ANIR01,Hari Anirudh,21642
2022HANT01,Thiago Han,21754
2012HALE01,Callum Hales-Jepp,22156
2021PRAS02,Simon Praschl,22974
2017SIAU02,Max Siauw,23127
2022CHIA04,Luca Chiandotto,23336
2011BANS02,Shivam Bansal,23378
2018BLOC01,Jonathan Blöcher,23634
2017HUGH04,Lennon Hughes,23882
2018SUNC02,Chenhao Sun (孙晨皓),24045
2014PATT02,Thomas Patterson,24276
2019WANZ21,Zhe Wang (王哲),24725
2016WHIT16,Jason White,24776
2016HUNG08,Lim Hung (林弘),24983
2011LINB01,Brandon Lin (林博浩),25072
2015BUAT01,Witali Bułatow,25186
2016HORV04,Mihály Horváth,25258
2018LEED01,DongJae Lee,25542
2017NORR01,Timo Norrkniivilä,25567
2012HIRA01,Tomoyuki Hiraide (平出智之),25688
2022ANNA01,Greehith Annabathina,25985
2011TANH01,Haijun Tan (谭海俊),26493
2016WHEA01,Oliver Wheat,26767
2013SAVA01,Harry Savage,26880
2015CHEN49,Yucheng Chen (陈裕铖),26985
2010CHAN20,Nevins Chan Pak Hoong (陈百鸿),26987
2014GARC27,Arthur Garcin,27294
2014CAIJ02,Jack Cai,27477
2009LIUE01,Evan Liu,27591
2022STRA10,Thomas Strasser,27680
2016SOON01,Jareth Soong Ying Rui (宋颖锐),28025
2023LIUK02,Kevin Liu,28491
2010BENT01,Jan Bentlage,28494
2015MACK06,Zeke Mackay,28829
2012ARTH01,Noah Arthurs,29131
2015SRIN02,Swami Srinivasan,29286
2017XUAN03,Shawn Lee Zhi Xuan (李致轩),29358
2020ROUY01,Rodolphe Rouyrre,29911
2012POHL01,Andreas Pohl,30128
2015QUAN03,Ng Jia Quan (黄佳铨),30242
2012FUJI01,Hiroto Fujita (藤田浩斗),30692
2007MINH01,Minhyun Kim (김민현),31012
2012KAMA01,Liliya Kamaltdinova,31014
2017CHAM09,Jacob Chambers,31775
2016NGAN02,Michael Ngan (顏律言),31778
2016BRIJ01,Abner Brijesh,31841
2017MOLI05,Samuel Moliver,32038
2017TUNG13,Antonio Kam (甘浩東),32106
2015CITT01,Marco Edoardo Cittar,32696
2014DETU01,Eddy Deturche,32710
2014PETE03,Tobias Peter,33020
2020SCHL01,Katharina Schlomberg,33173
2014VIKS01,Olli Vikstedt,33221
2016PARK10,Yeon Kyun Park (박연균),33283
2021DAMM01,Jonathan Dammann,33488
2016RUCI01,Marcel Ručigaj,33515
2016KELL10,Adam Marcellus Kelly,33680
2022WADH02,Ashwyn Wadhawan,34107
2014HANJ02,Jiachi Han (韩佳池),34126
2010UTOM01,Vincent Hartanto Utomo,34348
2014GOSL01,Raymond Goslow,34652
2018ZHEN45,Frederick Zheng,34702
2018YUAN02,Anqi Yu,34715
2013HOLM01,Kristian Holme,34760
2011LING02,Rodson Lingad,34923
2014MARQ02,Marlon de V. Marques,35011
2014LEZA02,Bruno Lezama,35182
2014MACE02,Fernando Israel Zúñiga Macedo,35315
2017SWAR03,Dylan Swarts,35420
2015SANC18,Josete Sánchez,35492
2017MAND13,Francisco Moraes Mandalozzo,35509
2011SETY02,Ragil Setyadi,35523
2015RIVE05,Mark Rivers,35660
2022STRE03,Jáchym Střelec,35668
2015JAEH01,Konstantin Jaehne,35781
2019GRIE05,Jens Grieme,35798
2017FONS04,Jan Fonš,35910
2005KOCZ01,István Kocza,36141
2017SUNC03,Chen-Pin Sun (孫振斌),36534
2021THOM03,Niklas Thomßen,36592
2016JEON02,Jaehyun Jeong (정재현),37073
2012LAUR02,Anthony Lauro,37432
2019SMIT36,Amy Smith,37613
2014KOUL01,Sukant Koul,37733
2017BEVA01,Thomas Bevan,37951
2014GLYR01,Victor Glyrskov,37957
2017MEYS02,Cedric Meysing,38213
2016MART29,Artyom Martirosov,38217
2018WEYE01,Peter Weyers,38267
