personId,personName,best
2012PARK03,Max Park,3594
2013NAHM01,Seung Hyuk Nahm (남승혁),3790
2016KOLA02,Tymon Kolasiński,3798
2015WANG09,Kai-Wen Wang (王楷文),4052
2019HUNG16,Đỗ Quang Hưng,4106
2012PONC02,Patrick Ponce,4157
2009ZEMD01,Feliks Zemdegs,4181
2012BEAH01,Ciarán Beahan,4223
2015LEON02,Ivan Li Ka Leong (李嘉亮),4262
2018BERE01,János Bereczki,4265
2015FUSH01,Firstian Fushada (符逢城),4416
2017PARK05,DongSoo Park (박동수),4419
2010WEYE02,Sebastian Weyer,4430
2016NUNE11,Brandon Nunez,4440
2010WANG68,Bill Wang,4485
2015DELA05,Richard Delacoste,4494
2010WUIF01,Yi-Fan Wu (吳亦凡),4504
2018LICH05,Henry Lichner,4521
2016INAB01,Matty Hiroto Inaba,4536
2018ALAM08,Leon Marcell Alamanda,4570
2018ELLA01,Omar Ellabban,4570
2019TARA09,Timofei Tarasenko,4601
2015MOHA10,Varun Mohanraj,4651
2013GERH01,Kevin Gerhardt,4655
2016CHAN09,Jaemin Chang (장재민),4658
2016HUNG08,Lim Hung (林弘),4662
2017PALI04,Inigo Miguel B. Palisoc,4662
2012HUAN12,Ping-Yueh Huang (黃品越),4665
2018ZIMM02,Mark Zimmermann,4669
2022KAOE01,Emmanuel Kao,4671
2017HUAN77,Junliang Huang (黄骏亮),4706
2017MAND13,Francisco Moraes Mandalozzo,4720
2015WEIB03,Benjamin Wei,4722
2019YAOJ01,Jerry Yao,4728
2018DULL01,Twan Dullemond,4734
2017SUNC02,Christopher Sun,4736
2017SIAU02,Max Siauw,4756
2015TELL01,Pedro Alejandro Condo Tellez,4758
2017KORH01,Lauri Korhonen,4783
2017GOLU01,Theo Goluboff,4786
2017NOKE01,Jacob Nokes,4790
2009HAYS01,Kevin Hays,4791
2017KWAN05,Burno Li Chak Kwan (李澤堃),4793
2009KONV01,Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),4798
2019YANG94,Cian-Jyun Yang (楊謙君),4812
2017RAND06,Ari Randers-Pehrson,4818
2012TYCK01,Luke Tycksen,4822
2018GRAH05,Kate Grahame,4850
2010KADD01,Abdelhak Kaddour,4856
2019ZENG10,Wei-Ming Zeng (曾唯銘),4870
2017HONG17,Jinseo Hong,4872
2013EGDA02,Martin Vædele Egdal,4872
2021DUNA01,Brendyn Dunagan,4874
2013KEJR01,Aryan Kejriwal,4876
2016ROLZ01,Alwin Rölz,4881
2015MAJE01,Marek Majerik,4884
2013WANG67,Xuming Wang (王旭明),4892
2014JAYE01,Eli Jay,4902
2012ZHAN08,Anyu Zhang (张安宇),4920
2017SARE03,Arhaan Sareen,4947
2017SANK04,Vishwa Sankar,4950
2015ANDA01,Daryl Tan Hong An,4953
2018NGHA02,Hayden Ng (吳宇晞),4955
2015LARS04,Kim Roger Haraldsen,4972
2007VALK01,Mats Valk,4981
2010UTOM01,Vincent Hartanto Utomo,4987
2011MAHT02,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),4989
2014BAIR01,Ray Bai,4991
2018MURR03,Jasper Murray,4997
2018RUSH01,Daniel Rush,5002
2018SANC03,Angel Armando Jaime Sánchez,5007
2014MEND02,Alexis Rodrigo Cazu Mendoza,5020
2017TRAN25,Celine Tran,5023
2015OAKK01,Kunal Oak,5041
2016PFEI01,Jack Pfeifer,5047
2016NOVO01,Gergely Novotni,5048
2015XION03,Max Xiong (熊锐明),5054
2012GONZ10,Eder Olivencia González,5066
2019RAMO05,Dwyane Ramos,5074
2013TAKA02,Makoto Takaoka (高岡誠),5077
2017GARR05,Luke Garrett,5080
2006HALC01,Michał Halczuk,5080
2021PIET01,Tomasz Pietruszka,5096
2016YONG02,Tristan Chua Yong,5100
2017MAZH04,Zhiyuan Ma (马之元),5102
2017SZUL01,Mateusz Szulik,5104
2017AGGA01,Sameer Aggarwal,5108
2012MAHV01,Paul Mahvi,5114
2018PHUO05,Phạm Đức Phước,5118
2013FURL01,Mattia Furlan,5123
2014BONA02,Bautista Bonazzola,5129
2017SOUL02,Cameron Soulagnet,5129
2021BACK01,Jack Larsson Backsell,5150
2016JENS09,William Jensen,5150
2017ENGB01,Bryan Eng,5152
2012PATE01,Antonie Paterakis,5153
2016BITZ01,Carter Bitz,5162
2015MANI01,Isaac Wong Chang Man,5166
2017KIRB01,Ben Kirby,5171
2016XIAN01,Ang Chin Xiang,5173
2018BEHR01,Roxy Behrle,5174
2017XUYI03,Yibo Xu (许一博),5177
2018WANG39,Yibo Wang (王奕博),5178
2016NAGU02,Christian Angelo Araneta Naguio,5183
2016HSUE02,Yi-Jen Hsueh (薛以仁),5193
2017BASH04,Alexander Bashutkin,5196
2016CHAP04,Stanley Chapel,5199
2015CHEA01,Andrey Che,5200
2012WENI01,Ivan Lew Yi Wen (刘义文),5203
2018SHIN08,Minkyu Shin (신민규),5207
2016YANG84,Yap Jia Yang,5210
2014NORD02,Amos Nordman,5212
2018MOSH01,Zecharya Moshavi,5213
2016SMUL01,Mika Smulders,5217
2010WEYE01,Philipp Weyer,5224
2015QUAN03,Ng Jia Quan (黄佳铨),5230
2018ABLA01,Ahmet Çınar Ablak,5233
2014LEES01,Sooho Lee (이수호),5233
2018TENG01,Ng Yong Teng,5242
2015GROH02,Matěj Grohmann,5242
2010SUGA01,Sei Sugama (洲鎌星),5243
2020CHEN31,Kai-Lun Cheng (鄭凱倫),5248
2016CHEU04,Andy Mok Man Cheuk (莫文卓),5249
2017URBA01,Mantas Urbanavičius,5253
2017YEHM01,Morgan Yeh,5254
2017KIMM01,Asher Kim-Magierek,5257
2018KWON01,Do Hyun Kwon (권도현),5260
2015TRAN07,Dan Tran,5263
2013FERT01,Louis Fertier,5264
2015NAIN01,Nicolas Naing,5265
2021PHIL05,Nathan Phillips,5269
2015BRAG01,Angela Braganza,5270
2017HUAN07,Gerson Marcelo Nuñez Huanuiri,5274
2022KIMY03,Yeguk Kim,5278
2015ZHEN20,He-Ping Zheng (鄭和平),5279
2017PINT05,Josias Milan Sirpa Pinto,5280
2018WEYE01,Peter Weyers,5282
2018CHOE02,Ethan Cho,5286
2015ZHAR01,Alexey Zharikov,5292
2016GONZ52,Gabriel Santiago Velez Gonzalez,5293
2016HOWE03,Lee Hoween,5300
2015GRIE02,Luke Griesser,5306
2010HULL01,Katie Hull,5306
2007SEUN04,Yi Seung-Woo (이승우),5307
2016AQUI02,Jose Polorhenzo Aquino,5312
2015CHNG01,Jonathan Chng,5318
2016GABA02,Amey Gaba,5320
2016LIJE01,Jeffrey Li,5320
2014YELI01,Maksym Yeli (Максим Єлі),5321
2016HART02,Sean Hartman,5325
2018ALFO01,Diego Alfonso,5325
2022SUNI01,Nathaniel Timothy Sunil,5334
2017LIMJ02,Jaden Lim,5345
2018PARI07,Parist Pariyakanok (พริษฐ์ ปริยกนก),5346
2017ZHAO79,Ben Zhao,5346
2018LAPE01,Gael Augusto Lapeyre,5348
2015DEGL01,Lucas Déglise,5349
2011ETTE01,Lucas Etter,5350
2016GRAS01,Peter Grassard,5354
2013RIGO01,Richmond Mico Rigor,5362
2010WHIT05,Zachary White,5364
2014BAND04,Mahith Bandi,5364
2010JORG01,Adrian Jorghy,5368
2013KLEI03,Livia Kleiner,5370
2019BRUN02,Claudio Matias Cancino Bruna,5372
2014ZAKR01,Karol Zakrzewski,5374
2022PART02,Daniel Partridge,5376
2019KEDZ01,Adam Kędziorski,5376
2013BURL01,Łukasz Burliga,5379
2019YURU02,Rui Yu (余睿),5379
2014RAJE03,Anish Rajesh,5380
2017FENG09,Yu Feng (冯煜),5380
2021SKOW01,Maciej Skowroński,5382
2016HRYN02,Vladyslav Hryniuk (Владислав Гринюк),5382
2012CARL03,Alexandre Carlier,5392
2014BEGU01,Elian Beguec,5392
2016PILA03,Ryan Pilat,5393
2019ZHEN04,Deng Zhengping,5396
2017PABI01,Magdalena Pabisz,5398
2017WURY01,Ryan Wu,5399
2013MALI03,Szymon Malinowski,5400
2017SUMA03,Cairon Sumadchat,5403
2016MELN01,Yevheniia Melnykova (Євгенія Мельникова),5404
2010YINF01,Fung Hoi Yin (馮凱賢),5405
2021DUTI01,Tianzuo Du (杜天佐),5406
2015WANG46,Shih-Hao Wang (王士豪),5410
2015CHER07,Tommy Cherry,5413
2016BARO04,Ben Baron,5414
2015CECC01,Vicenzo Guerino Cecchini,5415
2015GAND02,Aarav Gandhi,5415
2017TIKK01,Hargun Singh Tikku,5417
2019HANS03,SeungO Han (한승오),5419
2021EYLE01,Henry Eyles,5425
2019MORG10,Danny Morgan,5430
2015HSIE02,Ho Hsieh (謝合),5434
