personId,personName,best
2021ELIA01,Niklas Aasen Eliasson,313
2018SIDH02,Dilshawn Sidhu,335
2021SHEN01,Edwin Shen,347
2020ARTZ01,Eddie Artze,349
2015CHER07,Tommy Cherry,350
2021POLI02,Marcel Politowicz,352
2015BARH01,Anders Barhaugen,355
2017CHAM09,Jacob Chambers,356
2018THOM29,Carter Thomas,360
2022WOLF02,Jasper Wolfe-Tham,369
2022KAPU01,Volodymyr Kapustianskyi,371
2021KASP01,Eryk Kasperek,375
2021RICH02,Reed W. Richardson,377
2015TREL02,Caleb Trelford,379
2017LOUY01,Yunhao Lou (娄云皓),381
2021SKOW01,Maciej Skowroński,382
2019NATS02,Namuun Natsagdorj,383
2022CERN03,Michal Černý,385
2022WANG29,Ethan Wang,390
2022GOUR01,Neil Gour,391
2021DUNA01,Brendyn Dunagan,394
2016GUND05,Dmitry Gundin,395
2017CHOD02,Adam Chodyniecki,400
2019LINJ04,Jaidon Poraminthara Lin (เจเดิ้น ปรมินทร์ หลิน),401
2022PART02,Daniel Partridge,402
2022ADAM01,Lachlan Adams-Romyn,403
2023LOUF01,Fengyuan Kelvin Lou (楼丰源),406
2014GLYR01,Victor Glyrskov,406
2021RAHN01,Nathan Rahn,407
2019MEAD03,Kyle Meade,407
2022BAOF01,Fiona Bao,408
2019LENS01,Magnus Lensch,408
2020REJD01,Gabriel Rejdych,409
2017SANK04,Vishwa Sankar,410
2022CRIB01,Zachary Cribb,411
2019MORG10,Danny Morgan,412
2022SEOE01,EunKyeol Seo (서은결),413
2022CORR06,Jack Corr,413
2021MARI04,Paolo Marino,416
2013OLSZ02,Piotr Olszewski,420
2016SHAW02,Sam Shaw,420
2016PARK10,Yeon Kyun Park (박연균),420
2018CREE01,Kerry Creech,420
2019CHAU12,Zayd Chaudhry,421
2020GRAH01,Jules Graham,423
2022STOJ03,Antoni Stojek,423
2015QUAN03,Ng Jia Quan (黄佳铨),423
2017SWOR01,Noah Swor,424
2017BREE02,Ryan Michael Breen,426
2019MARR04,Joshua Marriott,428
2023ZAST01,Szymon Zastawny,428
2020TAOR01,Richard Yiheng Tao,429
2022SANG08,Supakrit Sanghiran (ศุภกฤต สังข์หิรัญ),430
2021BUTE03,Alex Butera,430
2022ESSL01,César Essling,431
2018EYOU02,Elyas Eyou,432
2018GOME06,Jaime Calzado Gomez,432
2017PABI01,Magdalena Pabisz,433
2019BURK05,Rían Burke,433
2022SLIW01,Filip Śliwa,433
2019EKLU01,Samuel Eklund-Hanna,433
2018WASI02,Mateusz Wasil,433
2017YOUN10,Kaius Young,433
2020GROD01,Szymon Grodzki,435
2021WILL06,Carter Williams,437
2022PORT01,Elijah La Porte,439
2018HARR12,Brandon Harris,439
2017GARR05,Luke Garrett,440
2020PALL01,Oliver Pällo,441
2017PERR02,Virgile Perrot,443
2020MOCO01,Conan Mo,444
2018MATY02,Adrien Auvray Matyn,444
2020DOLA01,Jakub Dolata,444
2019REGO03,Timo Regoor,445
2018MILL08,Cameron Miller,446
2022THOM14,Brayden Thompson,447
2019GART01,Lewis Garthwaite,449
2016BRIN04,Chris Van Der Brink,449
2022CYWI01,Kazimierz Cywiński,450
2018CHER09,Ruiyin Chen (陈睿尹),451
2020BURN06,Luke Burns,452
2013ZHON04,Tairan Zhong (钟泰然),453
2022GIES01,Chiara Giesinger,454
2018UMEN01,Teru Umene,455
2022TUCK09,Clement D. Tucker,455
2019BAUM02,Dylan Baumbach,456
2022LEEU02,Sjoerd van Leeuwen,456
2018GRAI01,Aidan Grainger,458
