personId,personName,best
2018LOPE22,Leandro Martín López,2684
2016YONG02,Tristan Chua Yong,2692
2016WUZI04,Ziyu Wu (吴子钰),2696
2016SINY01,Alexei Sinyavin,2867
2015NAIN01,Nicolas Naing,2906
2014NORD02,Amos Nordman,2956
2019VUJC01,Alexander Vujcich,2968
2013HUAN30,Juan Pablo Huanqui,3039
2018GRAI01,Aidan Grainger,3091
2017CHOI07,Kyeongmin Choi,3137
2014ZYCH01,Jan Zych,3156
2017SEOH01,Heewon Seo,3175
2008YUDA01,Yu Da-Hyun (유다현),3203
2015CHIA07,Yun-Rui Chiang (江昀叡),3220
2016DAVI02,Ethan Davis,3262
2018KUCZ01,Lucas Kuczaj,3276
2016ZHAN45,Yunliang Zhang (张赟量),3277
2017MEDR01,Joaquín Infante Medrano,3301
2016MORA24,Sean Moran,3313
2017KWAN05,Burno Li Chak Kwan (李澤堃),3345
2015MILL01,Dylan Miller,3376
2017PABI01,Magdalena Pabisz,3384
2019TARA09,Timofei Tarasenko,3387
2015FUSH01,Firstian Fushada (符逢城),3398
2015LAII01,Isaac Lai Yin Chung,3422
2014HIRA05,Masayuki Hirai (平井雅之),3423
2021OTSU01,Jamie Otsu,3449
2019GUNT04,Timo Günthardt,3460
2015CAMP03,Damián Jail Campos,3472
2014BAIR01,Ray Bai,3497
2017FENG10,Hill Pong Yong Feng,3513
2016ABRE01,Vitor Wagner Abreu,3516
2013GERH01,Kevin Gerhardt,3518
2016TORR29,Jose Daniel Cobo Torres,3524
2014STIN01,Jared Stinson,3524
2012PONC02,Patrick Ponce,3540
2018BACO01,John Bacouël,3542
2017MAND13,Francisco Moraes Mandalozzo,3547
2016HRYN02,Vladyslav Hryniuk (Владислав Гринюк),3557
2014GERB01,Henri Gerber,3560
2017WONP01,Park Ji Won (박지원),3561
2017SUKH02,Ihor Sukhovatenko (Ігор Суховатенко),3572
2016CHES01,Owen Chester,3583
2017ROMA11,Edson Bryan Béjar Román,3604
2015STAD01,Kostiantyn Stadnyk (Костянтин Стадник),3610
2015SOAR01,Nikhil Soares,3611
2022LEEB01,Beth Lee,3612
2016NOVO01,Gergely Novotni,3620
2019BELL10,Jack Bellomy,3636
2014SEBA01,Juliette Sébastien,3642
2018MERL03,Ulysse Merlin,3654
2013DENN01,Andy Denney,3657
2009ZEMD01,Feliks Zemdegs,3665
2012LEWI01,Phillip Lewicki,3670
2017GARR05,Luke Garrett,3671
2016WIJS01,Victor Wijsman,3684
2016HARP02,Nicolas Harper,3691
2017MCKE02,Aidan McKenzie,3694
2011MAHT02,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),3698
2016TARA04,Igor Tarasov,3708
2017GOLU01,Theo Goluboff,3715
2017PARK05,DongSoo Park (박동수),3728
2018HARR12,Brandon Harris,3743
2013EGDA02,Martin Vædele Egdal,3756
2016KAMA04,AJ Kamal,3772
2021DUNA01,Brendyn Dunagan,3805
2022LEEB02,Brendan Lee,3806
2016TUTO01,Clyde Dencer Tutor,3814
2019MUET01,Michael Muething,3822
2021CHEL01,Ianis Costin Chele,3828
2017REDO02,Raúl Martínez Redondo,3847
2019SHEN10,Jeremy Sheng,3867
2017PISK01,Maksymilian Piskorowski,3875
2017LEEM03,Matthew Lee,3904
2018PERR04,Rémi Perrin,3905
2018WAYD01,Darcy Way,3915
2018IMTI01,Muhammad Saleh Imtiaz,3926
2009SIEW01,Darren Siew Ee Yaang (蕭奕暘),3939
2010SCHI01,Reinier Schippers,3940
2015MACD03,James Macdiarmid,3946
2016PARI08,Théo Paris,3948
2015LEON02,Ivan Li Ka Leong (李嘉亮),3949
2018WANG39,Yibo Wang (王奕博),3949
2014MILL04,Chris Mills,3954
2016ZHAJ08,Jingqi Zhang,3972
2017MISI01,Maksymilian Misiak,3975
2017ZHEN43,Zhongyu Zheng (郑仲宇),3979
2018CAST11,Raúl Cuevas Castillo,3987
2021PIET01,Tomasz Pietruszka,3990
2019NOGA01,Ao Nogami (野上碧),3990
