personId,personName,best
2019JIAN54,Lingkun Jiang (姜凌坤),143
2019SHER10,Ezra Shere,145
2018MURR03,Jasper Murray,147
2021LEES01,Sebastian Lee,151
2016KELL12,Simon Kellum,153
2017NIEL03,Michael Nielsen,153
2022PART02,Daniel Partridge,157
2019MEAD03,Kyle Meade,160
2018EYOU02,Elyas Eyou,167
2021LUOY02,Yifan Luo (骆奕帆),169
2019HUAH03,Huining Huang (黄徽宁),171
2018HIBS01,Jakub Hibszer,171
2022PLUG01,Jonathan Plug,172
2016KOLA02,Tymon Kolasiński,172
2017PALA08,Harsha Paladugu,173
2017SUNY01,Owen Yepeng Sun (孙叶芃),174
2015BROW03,Elijah Brown,178
2015GORN01,Dominik Górny,180
2018BURG03,Edward Burgess,180
2021CHEL01,Ianis Costin Chele,181
2021LILI03,Like Li (李李可),181
2021TANG03,Shengze Tang (唐圣泽),181
2020DOZA01,Cyprian Doza,182
2018CREE01,Kerry Creech,183
2021MAJC01,Jakub Majchrzak,184
2013JOHN10,Brian Johnson,185
2021LOFT01,Enda Loftus,185
2016COSS01,Dylan Cossin,186
2015KAME02,Marcus Kamen,186
2022KEDE01,Matouš Keder,187
2018WILS10,Keon Wilson,188
2018ALFO01,Diego Alfonso,188
2015VANL01,Luke Van Laningham,188
2015FENG12,Junqi Feng (冯骏骐),190
2017GARR05,Luke Garrett,190
2016DEXT01,Riley Dexter,190
2014SZWU01,Mateusz Szwugier,190
2016OSTL02,Stian Nystad Østli,191
2018MATY02,Adrien Auvray Matyn,191
2022JOHN14,Connor Johnson,192
2016TRAG01,Parker Trager,192
2017TSVE02,Alexey Tsvetkov,192
2017PABI01,Magdalena Pabisz,193
2015RODR01,Andres Rodriguez,193
2021MAGG02,Matteo Maggiali,194
2022KAGA01,Rotem Kagan,195
2018ARNE04,Davide Arnesano,196
2020GRAH01,Jules Graham,197
2013OLSZ02,Piotr Olszewski,198
2017PIHE01,Remo Pihel,198
2016MATE04,Arnau Tous Mateu,199
2018BOHA01,Alex Bohac,200
2015ALLE03,Wesley Allen,201
2015WINT02,Steven Wintringham,201
2018SONG36,Seungho Song (송승호),201
2022MIYA01,Hajime Miyazaki (宮崎朔),202
2010DESJ01,Jules Desjardin,202
2022POUR02,Netanel Pour,202
2017MESY01,Pavel Mesyatsev,203
2022MAOA01,Andrew Mao,203
2016THOR08,Elvin Thorsen,204
2010BRAD01,Drew Brads,204
2013KLEI03,Livia Kleiner,204
2016LIJI05,Jiazhou Li (李佳洲),205
2017HERN11,Joaquin Ruenes Hernández,207
2023AJAN01,Imaad Sohel Ajani,207
2018LAPE01,Gael Augusto Lapeyre,208
2022MINA01,Giorgi Minasiani (გიორგი მინასიანი),208
2018PATT04,Phoenix Patterson,209
2019WANY36,Yiheng Wang (王艺衡),210
2021DIAZ01,Jeyson Paul Espinoza Diaz,210
2018CHAN05,Dylan Chan,210
2021QUIL01,Benjamín Ezequiel Cerda Quilaman,211
2017GAYN01,John Gaynor,211
2021DUNA01,Brendyn Dunagan,213
2022MASH01,Aoto Mashimo (眞下蒼人),213
2016HARL01,Jason Harley,213
2018MILL08,Cameron Miller,213
2018RAZI02,Davelno Danish Raziq,215
2018FRAN09,Bryan Frank,215
2019KEDZ01,Adam Kędziorski,215
2015MINK04,Kevin Min,215
2016HOBB01,Emmet Hobbs,215
2018OVER04,Carl Overbye,216
2019BELL10,Jack Bellomy,218
2018BAKK01,Benjamin Lilleøen Bakken,218
2016WOJC04,Dawid Wójcik,218
2013WARY01,Rafał Waryszak,218
2016PILA03,Ryan Pilat,219
2021DING02,Ziqi Ding,219
2016BRIN04,Chris Van Der Brink,220
2015KUCA01,Carter Kucala,220
2020TAOR01,Richard Yiheng Tao,220
2021LIUZ04,Zejin Liu (刘泽锦),220
2014BENA03,Sebastiano Benato,222
2022HUBE02,Emil Henry Huber,222
2015GOVI03,Abhinav Govindaraju,222
2016KYLE01,Benjamin Kyle,222
2016ROLZ01,Alwin Rölz,222
2014HOWL02,Tyler Howlett,223
2022TUCK09,Clement D. Tucker,223
2016GALA04,Andrés Rodríguez Galán,223
2019CHEN43,Xuyang Chen (陈徐洋),225
2016AREF01,Aleksander Arefiew,225
2019CANN01,Dash Cannon,225
2018ALVA16,Jansen Alvarez,226
2013GOOD01,Daniel Goodman,227
2018LOWS01,Samuel Low,227
2019WUBO01,Bo-Yan Wu (吳柏彥),227
2017TURM01,Itamar Turm,227
2017QIAN08,Wenrui Qian (钱文睿),228
2020FLIC01,Heath Flick,229
2017BHOL01,Veenayak Bhola,229
2017XURU04,Ruihang Xu (许瑞航),229
2018MACK04,Shaun Mack,230
2016DROB01,Jakub Drobný,230
2010HUYN02,Duc Huynh,230
2016JENS09,William Jensen,231
2017BASH04,Alexander Bashutkin,231
2015DASA02,Aniket Das,231
2022HAVI03,Sigurd Volan Håvik,232
2016XUJI02,Jiachen Xu (徐嘉辰),232
2014MINB01,Leo Min-Bedford,232
2022GRAH02,Thomas Grahor,233
2013KIMD01,Dohyun Kim (김도현),233
2022BHAV01,Darshan Bhavanasi,233
2015RAME02,Naren Ramesh,233
2019ZENG10,Wei-Ming Zeng (曾唯銘),233
2019URBA01,Tobiasz Urbanowicz,233
2019LIZH08,Zhiyuan Li (李致远),234
2016CHAP04,Stanley Chapel,234
2018KUZM02,Olaf Kuźmiński,234
2017AGGA01,Sameer Aggarwal,235
2018PASA02,Kasper Pasanen,235
2022JAME01,Blue James,235
2017ZHAQ04,Qiyu Zhang (张淇奥),235
2021KULA02,Maksymilian Kulas,235
2022JETH01,Anas Jethva,235
2014MILL04,Chris Mills,235
2021ELIA01,Niklas Aasen Eliasson,236
2019DIAS02,Mario Armando Takahashi Martins Dias,236
2019VUJC01,Alexander Vujcich,236
2017HONG17,Jinseo Hong,236
2014QUYN02,Tomáš Nguyen,238
2017YINX01,Xingkai Yin (尹星凯),238
2022FORS06,Bo Forsell,239
2016SIMK01,Samuel Simko,239
2017BOHN01,Jack Bohning,239
2013UVES01,Mattias Uvesten,239
2018KESA02,Viswath Kumaraa Kesavaraj,239
2015STEV03,Ethan Stevens,239
2016OCHS01,Zachary Ochs,240
2014FRIT02,Oliver Fritz,240
2022DINC01,Ayden Dincher,240
2018WANG39,Yibo Wang (王奕博),240
2012PATE01,Antonie Paterakis,240
2021WANG05,Yuzhe Wang (王语哲),240
2019RATT02,Louis-Marie Ratto,241
2013EGDA02,Martin Vædele Egdal,241
2017BLAC06,Ash Black,241
2013SAVA01,Harry Savage,241
2015CECC01,Vicenzo Guerino Cecchini,241
2017BENN09,Mark Bennis,242
2015MACK06,Zeke Mackay,242
2010WUYU02,Yulun Wu (吴宇伦),242
2019RAMO05,Dwyane Ramos,243
2022DUNN03,Caleb Wolf Dunn,243
2017KUDE02,Mars Daniel Kudemus,243
2022CHAR04,Peter Charbonneau,243
2022HALI01,Mikael Hälinen,244
2019BREM02,Daniel Brem,244
2019LINZ01,Zhiyi Lin (林之逸),244
2013FRON01,Martin Fronescu,245
2015SHAH09,Krish Shah-Nathwani,245
2023GUOK01,Kaixi Guo (郭铠希),245
2017PORT04,Daniel Porter,245
2014GROV01,Saransh Grover,245
2019REST01,Julián David Idárraga Restrepo,245
2017VISA01,Gana Visank Ventrapragada,247
2014CZAP01,Maciej Czapiewski,247
2018LONC01,Gustavo Alonso Sandoval Loncón,248
2023GRIF07,Jeriyah Griffin,248
2017MADR01,Maximiliano Perez Madrid,248
2019YANG37,Jieyu Yang (杨杰予),248
2017ZHEN48,Yuxuan Zheng (郑豫轩),249
2017WRIG03,Evan Wright,249
2021PANE01,Eli Panetta,249
2021RAHN01,Nathan Rahn,249
2018SHAH38,Aayush Shah,249
2016LILI01,Lianghui Li (李亮辉),249
2016LAUR01,Linus Laurén,250
2015CHER07,Tommy Cherry,250
2017VINO03,Dakshin Vinod,250
2019SCHE10,Matthias Schegers,251
2016TANN01,Ana Beatriz M. Tannenbaum,251
2016HNID02,Yurii Hnidko (Юрій Гнідко),251
2022GIAV01,Julian Giæver-Engesmo,251
2018OPAC01,Kajetan Opach,251
2018ZHAN74,Jiaming Zhang (张嘉铭),251
2021EYLE01,Henry Eyles,252
2021JOVA01,Ilija Jovanovic,252
2022MACC01,Evan Maccagnan,253
2022CENT02,Tim Cents,253
2016WOOD01,Nolan Wood,253
2019HERR14,William Herring,255
2019CHAU12,Zayd Chaudhry,255
2019EYOU01,Levi Eyou,255
2019CSEN01,Bálint Csengő,255
2015QUAN03,Ng Jia Quan (黄佳铨),255
2022NAGA02,Yuki Nagai,255
2017JABL01,Maciej Jabłoński,256
2013GERH01,Kevin Gerhardt,256
2017SWOR01,Noah Swor,256
2017WARR04,Benjamin Warry,257
2013TOKA01,Piotr Tokarski,257
2016HOSE01,Mohammad Soroush Hoseini (محمد سروش حسینی),257
2022CHAI02,Curtis Chai,257
2017JAGL01,Adam Jagła,257
2017ENKH01,Amarsanaa Enkhbaatar,257
2018BRED02,Maxim Brednev (Максим Бреднев),257
2022LARR02,Aratz Larruzea,257
2018PENG25,Yunrui Peng (彭云瑞),257
2021KIMU01,Gen Kimura,257
2016PASK01,Aaron Paskow,258
2019PHEL01,Elijah Rain Phelps,258
2017MAND13,Francisco Moraes Mandalozzo,258
2022KALO01,Max Kaloshi,259
2017ENGB01,Bryan Eng,259
2015MIAO02,Yilin Miao (苗宜琳),259
2016HOUN01,Joshua Hounslow,259
2022STAP04,Aron Stapleton,259
2022BOLT03,Patrick Bolte,259
2022ALPS01,Emil Alpsten,259
2021SHAW02,Vinicius Shaw,260
2012VERS02,Robin Verstraten,260
2019LIGU01,Guozheng Li (李国政),260
2021GEHA01,Haowen Ge (葛浩文),261
2016YONG02,Tristan Chua Yong,261
2019MORG10,Danny Morgan,261
2013ROGA02,Przemysław Rogalski,261
2015LINY12,Yun-Yi Lin (林昀毅),261
2018SUAR04,Antonio Adorno Suarez,261
2017ZENG04,Fanyang Zeng (曾凡洋),262
2018FOST03,Ashley Foster,262
2017EREZ01,Ethan Erez,262
2022PAND07,Arsh Pandya,262
2017CORI01,Leonardo José Hilario Cori,262
2014MAUR06,Lorenzo Mauro,263
2022MAND01,Yoav Mandelzweig,263
2015CHEA01,Andrey Che,263
2016KIBE01,Oleksandr Kibenko (Олександр Кібенко),263
2018MARI04,Stephen Mark V. Mariñas,263
2015NAZA02,Ilya Nazarov,263
