personId,personName,best
2015KUCA01,Carter Kucala,153
2018KHAN28,Zayn Khanani,156
2019REDI02,Dominic Redisi,173
2018WROT01,Brayden Wroten,177
2016KELL12,Simon Kellum,184
2016PARK10,Yeon Kyun Park (박연균),185
2021DENK01,Michał Denkiewicz,189
2010GARC02,Carlos Méndez García-Barroso,191
2018HANU02,Oskar Hanuszkiewicz,195
2017BLAC06,Ash Black,200
2013BURL01,Łukasz Burliga,203
2021GROH01,Vojtěch Grohmann,205
2013EGDA02,Martin Vædele Egdal,212
2014RZEW01,Michał Rzewuski,213
2014LAFO01,Anthony Lafourcade,214
2017ZHUY07,Charles Zhu (朱彦臣),215
2017MALO02,Elias Malomgré,216
2016CHAP04,Stanley Chapel,216
2018JIME14,Emilio Alberto Rodríguez Jiménez,219
2014OKAD01,Noriyuki Okada (岡田典之),219
2018KINN05,Urho Kinnunen,219
2015VANL01,Luke Van Laningham,220
2018MACH04,Cezary Mach,220
2013KRAS02,Michał Krasowski,221
2018FEDO04,Serhii Fedorniak (Сергій Федорняк),222
2014MAUR06,Lorenzo Mauro,222
2019YANG94,Cian-Jyun Yang (楊謙君),223
2014DETL01,Rasmus Stub Detlefsen,224
2015ANTO04,Manuel Prieto de Antón,224
2015WITM01,Mattheo de Wit,227
2021PIET01,Tomasz Pietruszka,227
2023GUOK01,Kaixi Guo (郭铠希),227
2013JOHN10,Brian Johnson,231
2016CAIY03,Coral Yuxin Cai (蔡羽欣),233
2022SAMS03,Ignacy Samselski,234
2015BAIL04,Léo Bailly,235
2018GOME06,Jaime Calzado Gomez,235
2013TEMP01,Jhon Alexander Taboada Temple,236
2015FUSH01,Firstian Fushada (符逢城),237
2016LAGO04,Mykhailo Lagoida (Михайло Лагойда),237
2019RAMO05,Dwyane Ramos,239
2023LANG03,Alex Rosado Saez de Langarica,239
2015FONS02,Federico da Fonseca,239
2014SCHW02,Fabio Schwandt,241
2014MINB01,Leo Min-Bedford,241
2013EGDA01,Daniel Vædele Egdal,242
2021TANG03,Shengze Tang (唐圣泽),244
2014CHIC01,Christopher Chi,244
2013LIZO01,Zongyang Li (李宗阳),245
2019FONS06,Michael Fonseca,245
2017YANG33,Chenchang Yang (杨宸畅),245
2021PANE01,Eli Panetta,246
2015KUND04,Vojtěch Kundera,246
2017NIEL03,Michael Nielsen,247
2018MART75,David Rendón Martínez,248
2021BURK03,Cathal Burke,248
2014BAUD02,Maxence Baudry,249
2015SCHO05,George Scholey,249
2019BENC04,Ariel Benchetrit,250
2013KOSK01,Jonatan Kłosko,251
2014HUZE01,Zeyu Hu (胡泽宇),253
2014SCHO02,Cale Schoon,253
2019FARD01,Håvard Færden,254
2016KIAC01,Bence Kiácz,254
2021CALZ01,Alessandro Calzoni,254
2016MOBE01,Marcus Moberg,255
2014LORE02,Julio Perugorria Lorente,255
2021DUNA01,Brendyn Dunagan,255
2019CARE02,William Carey,255
2018GRYT01,Mykyta Grytsenko (Микита Гриценко),256
2014DHAN01,Chetan Roger Dhanjal,256
2015ROBI04,Tyler Robinson,257
2013GERH01,Kevin Gerhardt,259
2017ECHE04,Alejandro Restrepo Echeverri,260
2016CHAR01,Jonathan Charlesworth,260
2014HOLU01,Lev Golub (Лев Голуб),261
2018KANE03,Ekaterina Kaneva,265
2022BRAG03,Szymon Brągiel,267
2012ZHAO05,Yihao Zhao (赵羿皓),267
2017SZUL01,Mateusz Szulik,268
2015SANT44,Advay Sant,268
2023BRES01,Taj Bressert,269
2017STEW08,Jack Stewart,269
2017TSVE02,Alexey Tsvetkov,270
2021FINK02,Ronan Finke,270
2017KLAU01,William Klauer,270
2014JAYE01,Eli Jay,271
2021WANG43,Yunchu Wang (王云楚),272
2017PABI01,Magdalena Pabisz,272
2014MIAO02,Qijun Miao (缪其隽),272
2021KULA02,Maksymilian Kulas,274
2015MACK06,Zeke Mackay,275
2022LEVI06,Jacob Levie,275
2022LIPP01,Lucas Lippman-Bruno,275
2018SULL05,Conor Sullivan,276
2017KIMM01,Asher Kim-Magierek,276
2017FUSH01,Shangtong Fu (傅上桐),276
2016LAZA03,Fernando Sáez Lázaro,277
2015LINH01,Hao Lin (林皓),277
2023LIUY04,Yening Liu (刘烨宁),277
2022PHAN03,Nigel Phang,277
2018PATT04,Phoenix Patterson,278
2016JENS09,William Jensen,279
2014NORR01,Riley Norrid,279
2021CHEL01,Ianis Costin Chele,280
2021RAME01,Saisabari Ramesh,280
2014GERB01,Henri Gerber,280
2017FOOY01,Yee Wen Foo,280
2015CHER07,Tommy Cherry,280
2022KHAN31,Nông Quốc Khánh,280
2016WETZ01,Leonard Wetzel,281
2021DING02,Ziqi Ding,282
2018ZHAJ17,Jiawei Zhang (张嘉伟),283
2018JOHN34,Dylan Johnston,283
2019BROW09,Fabian Browa,283
2015ZHOU07,Qi Zhou (周祺),283
2018MATY02,Adrien Auvray Matyn,284
2016SZAN01,Szabolcs Szántai,284
2018YANG76,Mingze Yang (杨明泽),285
2016HOFF06,Brad Hoffman,285
2019SHEN23,Haoran Sheng (生浩然),285
2018FAHI02,Farhan Tanvir Fahim,285
2018HIRS01,Joseph Hirsch,286
2017KHAN32,Pratik Khanna,287
2018MILL08,Cameron Miller,287
2015ROSE01,Daniel Rose-Levine,288
2017REDO02,Raúl Martínez Redondo,289
2020CHEN31,Kai-Lun Cheng (鄭凱倫),289
2016MART09,Eduardo Antonio Lara Martínez,289
2013WALL03,Daniel Wallin,290
2016BOUR01,Noé Bourdon,290
2013SAVA01,Harry Savage,291
2014HERN12,Jesús Julián De Niz Hernandez,291
2016LIUY05,Yu-Fang Liu (劉語芳),291
2017JOHN09,Tyler Johnson,291
2023LIUJ15,Jiawen Liu (刘佳雯),292
2017CARI02,Ivan Keith Cariaga,292
2019CAST13,Cody Caston,292
2019LINM03,Mingze Lin (林铭泽),293
2015KOZH01,Vladislav Kozhin,293
2017FAIZ01,Mohamad Adrian Syahirin Bin Mohd Faizal,294
2014ZYCH01,Jan Zych,294
2018LAPE01,Gael Augusto Lapeyre,294
2017BUEL01,Tyler Buel,295
2018KITA03,Jakob Kitak,295
2018PARR02,Eric Zahid López Parra,295
2022ARME01,Ian Leonardo Acevedo Armenta,295
2018GUER09,Héctor Haro Guerrero,295
2013KLEI03,Livia Kleiner,295
2016DICK03,Eng Dickson (黄迪胜),295
2016ALRO01,Karam Al-Robaie,296
2021ROME02,Rodrigo Sasieta Romero,296
2011SBAH01,Rami Sbahi,296
