personId,personName,best
2017SIAU02,Max Siauw,491
2017AGGA01,Sameer Aggarwal,512
2018KHAN26,Hassan Khanani,525
2019BAUM02,Dylan Baumbach,526
2016EPST02,David Epstein,537
2015CECC01,Vicenzo Guerino Cecchini,546
2018RICC02,Alessandro Ricci,572
2013KRAS02,Michał Krasowski,573
2017KIMJ02,Junseop Kim (김준섭),576
2014KARN02,Daniel Karnaukh,581
2021DUNA01,Brendyn Dunagan,588
2014DETL01,Rasmus Stub Detlefsen,607
2016PILA03,Ryan Pilat,615
2018MATY02,Adrien Auvray Matyn,615
2016CHAN09,Jaemin Chang (장재민),632
2014FANG01,Samuel Fang,638
2016GOTT01,Benjamin Gottschalk,648
2018HAMK01,Jakub Hamkało,651
2018CHAM01,Tucker Chamberlain,665
2014NIEL03,Calvin Nielson,667
2016CHEN53,Anshu Chennuru,668
2015BART05,Aiden Bartlett,669
2019CATE01,Dominic Cater,675
2013EGDA02,Martin Vædele Egdal,676
2017WONP01,Park Ji Won (박지원),678
2019MAIE01,Felipe Maierowicz,684
2016HSUE01,Yi-Ho Hsueh (薛以和),692
2013TAKA02,Makoto Takaoka (高岡誠),692
2019MAZZ02,Pietro Mazza,692
2017KIMM01,Asher Kim-Magierek,693
2018SOUT01,Ian Southa,694
2013JOHN10,Brian Johnson,698
2022CHEA05,James Chea,700
2016CRES01,Diego Brizuela Crespo,703
2017WARR04,Benjamin Warry,707
2016CAST48,Timothy Castle,710
2022RUIR01,Ray Ng Qi Rui (黄启瑞),710
2019WEID04,Alexander Weiden,712
2019CHEY31,Yen-An Chen (陳彥安),714
2019PHEL01,Elijah Rain Phelps,715
2016LIJI05,Jiazhou Li (李佳洲),715
2015FUSH01,Firstian Fushada (符逢城),716
2014CHIC01,Christopher Chi,716
2018RIMI01,Flavio Rimi,719
2017WRIG03,Evan Wright,720
2015EWER01,Helmer Ewert,721
2018MILL08,Cameron Miller,722
2014STAR05,Charlie Stark,723
2019FAND01,Christopher Fandrich,726
2016YORK01,CJ York,729
2015ONOF01,Anuar Miguel Abib Onofre,729
2012PONC02,Patrick Ponce,730
2016MAWA01,Wang Ma (马旺),732
2018NGHA02,Hayden Ng (吳宇晞),733
2019YANG94,Cian-Jyun Yang (楊謙君),733
2015TANG04,Calix Tang,734
2015KUCA01,Carter Kucala,741
2017MISI01,Maksymilian Misiak,742
2021FORE01,Daniel Forejtek,743
2020SPIR01,Maciej Spirydowicz,744
2018KHAN28,Zayn Khanani,745
2013KATO01,Eva Kato,751
2018ONGJ01,Joseph Ong,752
2016REET01,Tijmen van der Ree,754
2017SWOR01,Noah Swor,758
2019BRUS01,Lev Bruskov (Лев Брусков),758
2017ZHEN10,Jackey Zheng,760
2021RAHN01,Nathan Rahn,761
2016SUZU03,Andrés Hisashi Suzuki Cabrera,761
2016PFEI01,Jack Pfeifer,761
2017EREZ01,Ethan Erez,765
2018MACK04,Shaun Mack,765
2017ZHAX02,Xuechao Zhang (张学超),768
2019HANS03,SeungO Han (한승오),768
2017CHOI07,Kyeongmin Choi,768
2015CHER07,Tommy Cherry,777
2014ARGA01,Hector David Martinez Argaez,777
2018CHAN05,Dylan Chan,778
2015LUCI02,Paul Luciw,796
2018HOUB01,Bailing Hou,797
2021ALBI01,Damiano Albini,800
2016JONE04,Jode Brewster,800
2022MAXA01,Václav Maxa,804
2018RIDA01,Zach Ridall,805
2017CHAN44,Vincent Chan,806
2015MACK06,Zeke Mackay,807
2019KEDZ01,Adam Kędziorski,809
2017NICO01,Alejandro Nicolay,810
2023BENN04,Jacob Bennett,811
2017MORR05,Micah Morrison,812
2016OCHS01,Zachary Ochs,815
2016CHAP04,Stanley Chapel,815
2022PART02,Daniel Partridge,818
2019CHIN08,Camerone Chin,818
2022LINA04,Samuel María Liñares,820
2022POUR02,Netanel Pour,822
2015SOLT03,Witold Sołtysik,823
2010GARC02,Carlos Méndez García-Barroso,824
2013FENG02,Zijia Feng (冯子甲),824
2015VANE01,Ivan Vanek,826
2014SCHW02,Fabio Schwandt,827
2011LINB01,Brandon Lin (林博浩),828
2017KWAN05,Burno Li Chak Kwan (李澤堃),829
2015WANG46,Shih-Hao Wang (王士豪),832
2016HARP02,Nicolas Harper,832
2016YENC01,Christopher Yen,840
2022ANGM01,Malcolm Walter Ang,840
2017GARR05,Luke Garrett,841
2018YERK02,Yerkin Assylbek,842
2019ECKE02,Ryan Eckersley,844
2015DEGL01,Lucas Déglise,844
2018DUBI01,Łukasz Dubicki,844
2019LIZH07,Zhiquan Li (李志权),844
2018GIBS04,Levi Gibson,845
2023KIMB02,Benson Kim,848
2015QUAN03,Ng Jia Quan (黄佳铨),848
2017LEEM03,Matthew Lee,849
2019CHAU12,Zayd Chaudhry,850
2021KULA02,Maksymilian Kulas,851
2016LAUR01,Linus Laurén,853
2019EMER01,Silas Emerian,855
2018MULL07,Hannes Müller,855
2017MELL02,Laura Mellier,856
2007HESS01,Rowe Hessler,856
2022KAHA01,Libi Wohlfeiler Kahaty,856
2020AHNL01,Bo Ahn-Lewandowski,857
2018CHEN17,Vincent Chen,857
2017TUNG16,Chan Hui Tung (陳許瞳),858
2019CARR22,Jorge Luis Castillo Carrasco,859
2018PATT04,Phoenix Patterson,859
2018WANG40,Zhenyu Wang (王振宇),860
2017BRYA06,Aedan Bryant,861
2012SZEL01,Tommy Szeliga,861
2022FISH01,Ezra Fish,861
2016OUTH01,Thibaud Ou,864
2015LEEJ12,Jason Lee,865
2017HUAT03,Tang-Kai Huang (黃堂愷),868
2014BOIK01,Artem Boiko (Артем Бойко),870
2017MAND13,Francisco Moraes Mandalozzo,874
2016SZAN01,Szabolcs Szántai,875
2017HERN11,Joaquin Ruenes Hernández,880
2014BAIR01,Ray Bai,880
2016BECS01,Paul Becsi,880
2016SIUM01,Marcus Siu,882
2012MCNE01,Jayden McNeill,884
2016YUER02,Roy Yue,885
2021LEMP01,Luukas Lempinen,887
2020YEHE01,Ethan Yeh,887
2018CREE01,Kerry Creech,889
2018KUSA02,Tatsuya Kusanagi (草彅達也),889
2023LOUF01,Fengyuan Kelvin Lou (楼丰源),889
2019KANB01,Brian Kan,891
2017LOTZ01,Moritz Lotz,894
2017GUTI13,Hazel Moises Ruiz Gutierrez,896
2015HSIE02,Ho Hsieh (謝合),897
2019RAMO05,Dwyane Ramos,897
2013WALL03,Daniel Wallin,897
2019SILL01,Gavin Sillifant,899
2015SHAH09,Krish Shah-Nathwani,900
2017NAJA02,Oscar Sánchez Najarro,900
2014HOLU01,Lev Golub (Лев Голуб),901
2018KAST02,Ihor Kastranets (Ігор Кастранець),903
2018ADAM06,Brayden Adams,904
2017SUTT01,Titus Sutterfield,905
2017DUMM01,Matteo Dummar,905
2017NOKE01,Jacob Nokes,906
2021ELIA01,Niklas Aasen Eliasson,907
2014CHER05,Clément Cherblanc,908
2017PABI01,Magdalena Pabisz,909
2016HUNG08,Lim Hung (林弘),909
2018SORI06,Alejandro Soriano Compta,910
2014CHAN23,Sophie Chan,911
2018LIAN23,An Li (李安),911
2019BELL10,Jack Bellomy,912
2011YUBE01,Ben Yu,912
2015RUSN01,Ethan Rusnak,912
2019HSIE04,Wei-Chen Hsieh (謝維宸),912
2016YIUN01,Nolan Yiu,914
2018LIMA24,Caique Crispim de Lima,915
2014GERB01,Henri Gerber,915
2015SUMT01,Timothy Kong Wing Sum (江永琛),916
2018YAOC02,Caleb Yao (姚英華),918
2018ABLA01,Ahmet Çınar Ablak,919
2017ZHAO32,Boqin Zhao (赵博钦),921
2013GERH01,Kevin Gerhardt,921
2018LAPE01,Gael Augusto Lapeyre,922
2022HUCZ01,Jason Bradley Huczko-Summerford,923
2017HALL01,Aidan Halloran,923
2016FERN07,Javier López Fernández,924
2015HERN17,Artur Miralles Hernàndez,925
2014KIPR01,Tommy Kiprillis,927
2017MAKA06,Stepan Makarenko,927
2016MONT33,Bruno Alonso Villacorta Montoya,928
2022STOJ03,Antoni Stojek,930
2017XUAN01,Zhibo Xuan (禤志博),931
2011LIUR02,Rui-Jun Liu (劉睿鈞),932
2017SZUL01,Mateusz Szulik,932
2021PANN01,Eeshir Pannun,933
2018SAIT06,Darren Saito,937
